id,timestamp,name,count
6,1633772950880,createUsersTable1633772950880,7
8,1633925332069,createTagsTable1633925332069,7
9,1633925765391,createRolesTable1633925765391,7
10,1634121735385,createSectorsTable1634121735385,7
11,1634123137023,changeDatatypeInTagsTable1634123137023,7
12,1634123600061,changeDateDatatype1634123600061,7
13,1634129108454,createIndustryGroupsTable1634129108454,7
14,1634183836815,createIndustriesTable1634183836815,7
15,1634187058122,createSubIndustryTable1634187058122,7
16,1634285741528,createOrganizationDetailsTable1634285741528,7
